"habitat","MPA","MPA_type","period_1","period_2","SumOfSqs","R2","F.stat","p.value","distance","sd_pooled"
"Kelp forest fishes","carmel bay smca","ref","before","after",0.106236673336489,0.321081268660061,4.25637308936412,0.01,0.175051902430927,0.0303924721474862
"Kelp forest fishes","lovers point - julia platt smr","ref","before","during",0.0676387947517504,0.185509298200462,1.59432770016181,0.139,0.124259164456534,0.0582819304529384
"Kelp forest fishes","lovers point - julia platt smr","ref","before","after",0.101521478236019,0.238309316655106,2.50295109934749,0.042,0.0892507500178284,0.0533212152071371
"Kelp forest fishes","lovers point - julia platt smr","smr","before","during",0.0588756635931743,0.130526676779736,1.20097234308517,0.357,0.116410770164978,0.0761524465799352
"Kelp forest fishes","lovers point - julia platt smr","smr","before","after",0.12943432926451,0.226259733710925,2.63181030136221,0.031,0.102947951674765,0.0766443946314396
"Kelp forest fishes","point buchon smr","ref","before","during",0.0492877350190153,0.234460068602384,1.22507035354427,0.333333333333333,0.130453551400847,NA
"Kelp forest fishes","point buchon smr","ref","before","after",0.0740700682765871,0.234428153437912,2.14349192885622,0.043,0.10250910234718,0.0414066321195295
"Kelp forest fishes","point buchon smr","smr","before","during",0.039488502816043,0.263116524501845,1.42826665680878,0.333333333333333,0.159180924392955,NA
"Kelp forest fishes","point buchon smr","smr","before","after",0.105946692665809,0.445042361052704,5.61357535915418,0.016,0.170134729401589,0.0351944633866185
"Kelp forest fishes","point lobos smr","ref","before","during",0.0808728999036047,0.175830327927262,1.70673912312313,0.092,0.0892447914339193,0.0370839775080527
"Kelp forest fishes","point lobos smr","ref","before","after",0.125634233413149,0.257864344927984,3.12716292296542,0.01,0.155795547795663,0.0373187738074548
"Kelp forest fishes","point lobos smr","smr","before","during",0.0360406910628561,0.133694094653862,1.23461325916225,0.3,0.0783223210948758,0.0352535782112475
"Kelp forest fishes","point lobos smr","smr","before","after",0.0901941587195251,0.277342735939319,3.45403657804271,0.009,0.122581328874308,0.0308233648212228
"Kelp forest fishes","point sur smr","ref","before","after",0.178905517079058,0.397420445746404,3.95719147396577,0.037,0.112420220517654,0.0496629930683883
"Kelp forest fishes","point sur smr","smr","before","during",0.104110074425751,0.384590530912626,2.49973749336654,0.166666666666667,0.182362675545514,NA
"Kelp forest fishes","point sur smr","smr","before","after",0.149738192448044,0.435218669331788,4.62358062172699,0.019,0.136542068546467,0.0264258871805025
"Kelp forest inverts and algae","lovers point - julia platt smr","ref","before","during",0.250358228763864,0.117338481726998,2.12699394815045,0.084,0.214679731222878,0.0590462363058274
"Kelp forest inverts and algae","lovers point - julia platt smr","ref","before","after",0.55849768495624,0.219033132035518,4.76788887895966,0.001,0.293815532285486,0.0616748479393426
"Kelp forest inverts and algae","lovers point - julia platt smr","smr","before","during",0.194254247414442,0.118891296695143,2.15893991284764,0.031,0.153419136964792,0.0629782415282216
"Kelp forest inverts and algae","lovers point - julia platt smr","smr","before","after",0.62095947161765,0.290934438108167,6.97521599362814,0.002,0.275887621144321,0.0634827491468368
"Kelp forest inverts and algae","point lobos smr","smr","before","during",0.176624243353544,0.145335455821612,2.72079532137516,0.018,0.167912352534257,0.0537599951614591
"Kelp forest inverts and algae","point lobos smr","smr","before","after",0.508831828518381,0.325238662558207,8.19409316552085,0.001,0.260584345116695,0.0527454368354422
"Kelp forest inverts and algae","point sur smr","smr","before","after",0.219442494976552,0.16772325703426,2.21675763857407,0.016,0.149370685292395,0.0719076201758635
"Kelp forest inverts and algae","natural bridges smr","smr","before","during",0.14196763867738,0.122541489597521,1.53620526736294,0.169,0.191105888581056,NA
"Kelp forest inverts and algae","big creek smr","ref","before","during",0.238869765572755,0.289551750497533,4.07562057757631,0.079,0.232113956518441,NA
"Kelp forest inverts and algae","big creek smr","smr","before","during",0.106325116841477,0.140318332762855,1.63221269116755,0.067,0.167378123197765,NA
"Kelp forest inverts and algae","carmel bay smca","ref","before","during",0.208170738852931,0.145762383277207,2.3888825848126,0.012,0.154318283422247,0.0593592402123796
"Kelp forest inverts and algae","carmel bay smca","ref","before","after",0.610919615187273,0.332539800098764,7.47325009374273,0.001,0.26576784670705,0.0566236330841386
"Kelp forest inverts and algae","point buchon smr","ref","before","during",0.0919352104504296,0.185519957547079,1.13888584051955,0.29,0.150860569678886,NA
"Kelp forest inverts and algae","point buchon smr","ref","before","after",0.176810188014747,0.224412696480288,2.31476400360733,0.012,0.163928358169453,0.0656870264641818
"Kelp forest inverts and algae","point sur smr","ref","before","after",0.163603317563043,0.257356117407918,2.42578288744209,0.012,0.173179899344968,0.0291524954421048
"Kelp forest inverts and algae","point lobos smr","ref","before","during",0.161587282598337,0.173913809132604,1.89474693984406,0.01,0.165951910900176,0.0338301268906031
"Kelp forest inverts and algae","point lobos smr","ref","before","after",0.299493709248345,0.275023836258693,3.79355694729889,0.004,0.211423092011632,0.0398419956326103
"Kelp forest inverts and algae","point buchon smr","smr","before","during",0.067565252030794,0.195819625538917,0.974008477489368,0.5,0.160563932758354,NA
"Kelp forest inverts and algae","point buchon smr","smr","before","after",0.163305495889896,0.261067690563621,2.47312752549588,0.005,0.151344846810848,0.0457458465136157
