"","Habitat","MPA type","Transition","B-C distance","Sum of squares","R-squared","Psuedo F","P(perm)"
"1","Rocky reef fishes","Reference","Before-to-after",0.0710523479156655,0.585986933727473,0.188362301582319,9.51514989992592,0.001
"2","Rocky reef fishes","Reference","Before-to-during",0.0731733429982279,0.146140227320536,0.0612611433504064,2.34932339808093,0.064
"3","Rocky reef fishes","MPA","Before-to-after",0.112355474344425,0.485890002928935,0.224685351085716,11.8817558876445,0.001
"4","Rocky reef fishes","MPA","Before-to-during",0.0660278806731108,0.158502577066785,0.0926580574550113,3.67633183474819,0.002
"5","Kelp forest inverts and algae","Reference","Before-to-after",0.125468650772604,0.921493559352675,0.0986786375338939,8.21116432300289,0.001
"6","Kelp forest inverts and algae","Reference","Before-to-during",0.084584928789064,0.490037527560274,0.0613805547931925,4.38143189142836,0.001
"7","Kelp forest inverts and algae","MPA","Before-to-after",0.141745500477656,0.84904631742642,0.102425527729519,7.18916195403467,0.001
"8","Kelp forest inverts and algae","MPA","Before-to-during",0.0798603454391172,0.33313255898405,0.0471966935830468,2.82346998180589,0.003
"9","Kelp forest fishes","Reference","Before-to-after",0.0999385331577114,0.640386576107278,0.109485059287806,9.09798816044352,0.001
"10","Kelp forest fishes","Reference","Before-to-during",0.081417856848542,0.249296672199664,0.0471998503318792,3.21997249123102,0.007
"11","Kelp forest fishes","MPA","Before-to-after",0.123873521128658,0.504805610633728,0.108796143627318,7.56881925124097,0.001
"12","Kelp forest fishes","MPA","Before-to-during",0.066260405230824,0.210320215620458,0.0499503717157691,2.94428915375167,0.015
"13","Deep reef fishes","Reference","Before-to-after",0.167268661621811,0.681134682679471,0.308355117655684,6.68743004236192,0.001
"14","Deep reef fishes","Reference","Before-to-during",0.135838869903821,0.19838744566082,0.123940057128561,1.83916723482441,0.064
"15","Deep reef fishes","MPA","Before-to-after",0.107476604089791,0.336967393171488,0.1629216993584,2.53020785515025,0.015
"16","Deep reef fishes","MPA","Before-to-during",0.104409702275761,0.120671594855486,0.0820844617228733,1.16252308398683,0.296
"17","Rocky intertidal","Reference","Before-to-after",0.05344079864719,0.218564305699959,0.0249477966559555,2.63536972353954,0.006
"18","Rocky intertidal","Reference","Before-to-during",0.058910093348326,0.155106085844774,0.0196376694216233,1.88291702777233,0.071
"19","Rocky intertidal","MPA","Before-to-after",0.0629651227595667,0.173672815704441,0.0256263061338088,1.94622111191999,0.091
"20","Rocky intertidal","MPA","Before-to-during",0.0644491976742871,0.153717858273833,0.0261204583691971,1.82383045662002,0.114
