"join_ID","group","mlpa_region","region4","affiliated_mpa","mpa_defacto_class","mpa_defacto_designation","year","variable","indicator","mean","sd","n"
"kelp","kelp forest-fish","south","south","point dume smr","smr","smr",2010,"all fish","diversity",1.808,0.0339,2
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","ref",2010,"all fish","diversity",0.9884,0.0348,2
"ccfrp","ccfrp","south","north islands","anacapa island smr","smr","smr",2017,"all fish","diversity",1.005822,0.036926,12
"kelp","kelp forest-fish","south","north islands","south point smr","smr","ref",2013,"all fish","diversity",2.1108,0.0374,6
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2006,"all fish","diversity",2.075,0.0383,3
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","ref",2020,"all fish","diversity",2.0504,0.0396,3
"kelp","kelp forest-fish","south","north islands","anacapa island smr","smr","ref",2020,"all fish","diversity",2.0504,0.0396,3
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2009,"all fish","diversity",1.9047,0.0403,2
"kelp","kelp forest-fish","central","central","vandenberg smr","smr","ref",2009,"all fish","diversity",0.5012,0.0409,2
"kelp","kelp forest-fish","south","north islands","santa barbara island smr","smr","smr",2013,"all fish","diversity",1.3209,0.0417,2
"kelp","kelp forest-fish","central","central","carmel bay smca","smca","smca",2005,"all fish","diversity",1.852,0.0422,2
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2004,"all fish","diversity",2.2972,0.0436,2
"kelp","kelp forest-fish","south","south","point dume smca","smr","ref",2010,"all fish","diversity",2.3783,0.0436,2
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2009,"all fish","diversity",1.7765,0.0447,3
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","ref",2011,"all fish","diversity",1.9141,0.0461,2
"kelp","kelp forest-fish","south","south","point vicente smca","smr","ref",2019,"all fish","diversity",1.6711,0.0464,2
"kelp","kelp forest-fish","south","south","campus point smca","smr","ref",2011,"all fish","diversity",2.2135,0.0467,2
"kelp","kelp forest-fish","south","south","naples smca","smca","ref",2011,"all fish","diversity",2.2135,0.0467,2
"kelp","kelp forest-fish","south","south","campus point smca","smr","smr",2016,"all fish","diversity",1.4223,0.0476,2
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","smr",2005,"all fish","diversity",1.9298,0.0486,2
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",1999,"all fish","diversity",1.7303,0.0512,2
"kelp","kelp forest-fish","south","north islands","south point smr","smr","smr",2015,"all fish","diversity",1.667,0.0529,2
"kelp","kelp forest-fish","central","central","point sur smr","smr","ref",2017,"all fish","diversity",1.873,0.0532,2
"kelp","kelp forest-fish","central","central","cambria smca","smca","smca",2003,"all fish","diversity",1.5379,0.0537,2
"kelp","kelp forest-fish","north","north","point cabrillo smr","smr","ref",2018,"all fish","diversity",0.8337,0.0538,4
"kelp","kelp forest-fish","central","central","pacific grove marine gardens smca","smca","smca",2006,"all fish","diversity",1.3483,0.0542,2
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","ref",2003,"all fish","diversity",1.9687,0.0547,2
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2005,"all fish","diversity",2.37,0.0547,3
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","ref",2011,"all fish","diversity",2.5403,0.0558,3
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","ref",2009,"all fish","diversity",1.8283,0.0562,2
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","ref",2012,"all fish","diversity",2.6223,0.0563,3
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","ref",2019,"all fish","diversity",1.9343,0.0589,3
"kelp","kelp forest-fish","south","north islands","anacapa island smr","smr","ref",2019,"all fish","diversity",1.9343,0.0589,3
"kelp","kelp forest-fish","north","north","saunders reef smca","smca","ref",2017,"all fish","diversity",1.469,0.0592,4
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","ref",2003,"all fish","diversity",2.3951,0.0593,2
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2016,"all fish","diversity",1.4192,0.0594,2
"kelp","kelp forest-fish","central","central","point buchon smr","smr","smr",2009,"all fish","diversity",2.1369,0.0596,2
"kelp","kelp forest-fish","central","central","carmel bay smca","smca","smca",2001,"all fish","diversity",1.7796,0.0597,2
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","ref",2017,"all fish","diversity",1.447439,0.060273,12
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2019,"all fish","diversity",1.294944,0.060422,12
"deep_reef","deep-reef","central","central","point buchon smr","smr","ref",2019,"all fish","diversity",1.899229,0.060986,4
"kelp","kelp forest-fish","south","north islands","anacapa island smr","smr","ref",2004,"all fish","diversity",1.6127,0.061,2
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","smca",2018,"all fish","diversity",2.3048,0.0622,3
