"habitat","MPA","MPA_type","period_1","period_2","SumOfSqs","R2","F.stat","p.value","distance","sd_pooled"
"Rocky intertidal","point sur smr","smr","before","during",0.0138221725373542,0.2690629982816,2.94485568686817,0.027,0.0863680195413909,0.00914736155150134
"Rocky intertidal","point sur smr","smr","before","after",0.0160629321770443,0.213804610322471,2.44753596646185,0.006,0.103139671098636,0.0167600329549325
"Rocky intertidal","boat house","ref","before","during",0.0271517497241526,0.369497234260947,4.68828692705682,0.015,0.0878607964512697,0.0165723284681429
"Rocky intertidal","boat house","ref","before","after",0.0691167828335088,0.61055666957676,14.1099091881197,0.005,0.10969863792611,0.0125155780651383
"Rocky intertidal","cayucos","ref","before","during",0.0616647170899115,0.415452509689846,5.68579992663264,0.01,0.117901823034361,0.0258372819797082
"Rocky intertidal","cayucos","ref","before","after",0.0687560089566233,0.426181820577184,6.68441071186137,0.007,0.112060072145385,0.0206617743154888
"Rocky intertidal","davenport landing","ref","before","after",0.330377061119425,0.913569353996768,31.709910647756,0.2,0.394246457406971,NA
"Rocky intertidal","point buchon smr","smr","before","after",0.389893983865817,0.932317294845204,41.3244694954015,0.2,0.414990083288075,NA
"Rocky intertidal","hazards","ref","before","during",0.0944464177895412,0.534979562805239,9.20354496301291,0.008,0.164101092688372,0.0328451944024248
"Rocky intertidal","hazards","ref","before","after",0.135631031346873,0.5660769603291,11.7410051488067,0.004,0.160262864220404,0.0303465305704823
"Rocky intertidal","lovers point - julia platt smr","smr","before","during",0.00972985624740971,0.209378789043174,2.11862556826453,0.077,0.0844648336361638,0.0139652026833362
"Rocky intertidal","lovers point - julia platt smr","smr","before","after",0.0198876338232431,0.261036248600198,3.17921715774489,0.011,0.0857390174160437,0.0195831908646947
"Rocky intertidal","mill creek","ref","before","during",0.0126840181117304,0.157687444038303,1.49766205356648,0.201,0.121622144645178,0.0135874225731082
"Rocky intertidal","mill creek","ref","before","after",0.0411012836384676,0.147831935357651,1.56129697112888,0.169,0.125529534598267,0.0657959080537047
"Rocky intertidal","natural bridges smr","smr","before","during",0.0829341617205668,0.0872120985237997,1.52871611699071,0.173,0.129861038112735,0.0568990859993639
"Rocky intertidal","natural bridges smr","smr","before","after",0.0852319186174167,0.0898910077705052,1.67908145633754,0.166,0.132001694423117,0.0555795511202117
"Rocky intertidal","occulto","ref","before","during",0.0479225585865544,0.388662418166305,5.08605954831725,0.014,0.154981142031765,0.0190729234638774
"Rocky intertidal","occulto","ref","before","after",0.0575009382852781,0.378952213878339,5.49163848760091,0.002,0.108720978541847,0.0161352178971692
"Rocky intertidal","point lobos smr","smr","before","during",0.0427064786326315,0.339308671839064,4.10852883791945,0.029,0.100076548935189,0.0212472734386791
"Rocky intertidal","point lobos smr","smr","before","after",0.0592334016842448,0.396590290701547,5.91523895176254,0.009,0.113062528161038,0.0194905934673555
"Rocky intertidal","point sierra nevada","ref","before","during",0.0269005978097438,0.443058703402345,6.36417096177257,0.005,0.0947939085325582,0.0150073974470148
"Rocky intertidal","point sierra nevada","ref","before","after",0.100805219826469,0.742545512104105,25.9576349340598,0.006,0.121695134661707,0.0120525375553314
"Rocky intertidal","sandhill bluff","ref","before","during",0.0406631230493125,0.261444294430525,2.83195206491767,0.021,0.151180943589374,0.0191395806127439
"Rocky intertidal","sandhill bluff","ref","before","after",0.0427105361531032,0.300217987553269,3.86114795739352,0.005,0.134631335590198,0.0153821347295848
"Rocky intertidal","shell beach","ref","before","during",0.0203792945079145,0.298488421466271,3.403945771959,0.01,0.127455937622493,0.013213688045311
"Rocky intertidal","shell beach","ref","before","after",0.047381197495109,0.427723700564065,6.72666910873446,0.002,0.113194548221189,0.0153567275416332
"Rocky intertidal","vandenberg smr","smr","before","during",0.031373834779349,0.378382892680359,4.86965867862825,0.011,0.113039864480285,0.00749955669890828
"Rocky intertidal","vandenberg smr","smr","before","after",0.0518573350708965,0.513216491507314,9.48871180510673,0.002,0.128329016372224,0.0070832178449075
"Rocky intertidal","anacapa island special closure","ref","before","during",0.0627521155895546,0.415614729268696,5.68959896950987,0.009,0.109587303059116,0.0199996264033115
"Rocky intertidal","anacapa island special closure","ref","before","after",0.0253024155244907,0.271090966436724,2.60339312270621,0.048,0.0927457241810276,0.0185953401315531
"Rocky intertidal","crook point","ref","before","during",0.0206678669622893,0.223696933888816,2.01709693749611,0.074,0.108602437912568,0.0167656295971177
"Rocky intertidal","crook point","ref","before","after",0.084744022111848,0.5175825753506,7.51025531485994,0.024,0.161483974709724,0.0167656295971177
"Rocky intertidal","harris point smr","smr","before","during",0.0522272580562429,0.0936380886254037,1.65299247376168,0.098,0.109983321644127,0.0143031462836262
"Rocky intertidal","harris point smr","smr","before","after",0.111096769171936,0.18432976883368,3.615770428598,0.029,0.116341515943713,0.0126091221261385
"Rocky intertidal","east point","ref","before","during",0.072247145435203,0.417543239296628,4.3011938478565,0.031,0.168385541440217,0.0176676482382104
"Rocky intertidal","east point","ref","before","after",0.0637385228293329,0.376742117151585,3.62683371540971,0.034,0.19290016352376,0.0176676482382104
"Rocky intertidal","ford point","ref","before","during",0.033879676148009,0.323954837846612,2.87514671488568,0.025,0.116019486203822,0.00864622730523259
"Rocky intertidal","ford point","ref","before","after",0.0809341176154932,0.5408705814997,7.06821074458353,0.033,0.183170730276462,0.00864622730523259
"Rocky intertidal","fossil reef","ref","before","during",0.0400304520095081,0.331880798627916,2.98043341319646,0.039,0.143623201049545,0.0224136122673107
"Rocky intertidal","fossil reef","ref","before","after",0.0561573270409869,0.416127778706893,4.27622103122451,0.038,0.185640238904574,0.0224136122673107
"Rocky intertidal","fraser cove","ref","before","during",0.0201807650386255,0.204125106691875,2.05183109464263,0.057,0.0989478842163481,0.0166119647303769
"Rocky intertidal","fraser cove","ref","before","after",0.0219209803157802,0.220204892410131,1.97671700151475,0.082,0.136104964695162,0.0160108708832
"Rocky intertidal","johnsons lee","ref","before","during",0.0172853983601247,0.187092779694653,1.38091611210718,0.291,0.111751744013522,0.0368225756976691
"Rocky intertidal","johnsons lee","ref","before","after",0.0412310146509597,0.334197707793158,3.01168420449956,0.029,0.135340093092464,0.0368225756976691
"Rocky intertidal","anacapa island smr","smr","before","during",0.215037730200149,0.340302654093455,6.70600621734445,0.005,0.238679111849048,0.0345801117795267
"Rocky intertidal","anacapa island smr","smr","before","after",0.175767188467927,0.310964461843362,5.41564743105028,0.006,0.220680611407899,0.0359364565573429
"Rocky intertidal","nw talcott","ref","before","during",0.0193002756753604,0.252421530202307,2.02591332201381,0.117,0.118538642122824,0.0169304116277469
"Rocky intertidal","nw talcott","ref","before","after",0.0405784172900444,0.349706706991013,3.22660600148167,0.022,0.12017676618705,0.0169304116277469
"Rocky intertidal","orizaba cove","ref","before","during",0.0993042817827463,0.473273825272498,4.49259831749715,0.048,0.174732097614754,0.0335224188629985
"Rocky intertidal","orizaba cove","ref","before","after",0.0988564623912929,0.469180033913242,4.41938947183987,0.05,0.16800696723749,0.0335224188629985
"Rocky intertidal","otter harbor","ref","before","during",0.0344292002916532,0.312110685092158,3.17605572335109,0.094,0.118521922749891,0.0128785844558903
"Rocky intertidal","otter harbor","ref","before","after",0.121956542789362,0.689169989284001,15.5203479672875,0.041,0.18557527334659,0.0128785844558903
"Rocky intertidal","prisoners harbor","ref","before","during",0.105423681970597,0.308180714509866,3.56371348383593,0.008,0.137498579647454,0.0405848174497728
"Rocky intertidal","prisoners harbor","ref","before","after",0.122741161435877,0.36179970871264,3.96834347392696,0.031,0.153750547009839,0.0429675637600574
"Rocky intertidal","scorpion smr","smr","before","during",0.0809658796527692,0.403245037008735,5.40583739747984,0.011,0.189275747465523,0.0184371048592843
