"Row","Region","MPA name","Target status","Effect size","Standard error","P-value","95% lower","95% upper","Tau-2","Q","Ecosystem (latest year)"
1,"North 
","Point Cabrillo SMR","Targeted",-0.36,0.355,0.31,-1.055,0.335,0,0,"Kelp forest (2019)"
1,"North 
","Point Cabrillo SMR","Non-targeted",-0.528,0.319,0.098,-1.153,0.098,0,0,"Kelp forest (2019)"
2,"North 
","Sea Lion Gulch SMR","Targeted",0.027,0.383,0.943,-0.724,0.779,0,0,"Deep reef (2014)"
2,"North 
","Sea Lion Gulch SMR","Non-targeted",-0.114,0.395,0.772,-0.888,0.659,0,0,"Deep reef (2014)"
3,"North 
","Ten Mile SMR","Targeted",0.42,0.04,0,0.342,0.497,0,6.31,"Surf zone (2020), Kelp forest (2020), Shallow reef (2020), Deep reef (2014)"
3,"North 
","Ten Mile SMR","Non-targeted",-0.113,0.567,0.842,-1.224,0.997,0.812,22.802,"Surf zone (2020), Kelp forest (2020), Deep reef (2014)"
4,"North 
","South Cape Mendocino SMR","Targeted",0.55,0.263,0.036,0.036,1.065,0,0,"Shallow reef (2020)"
5,"North Central 
","Bodega Head SMR","Targeted",0.257,0.446,0.564,-0.617,1.131,0.323,5.174,"Shallow reef (2020), Deep reef (2019)"
5,"North Central 
","Bodega Head SMR","Non-targeted",0.733,0.127,0,0.485,0.981,0,0,"Deep reef (2019)"
6,"North Central 
","Point Reyes SMR","Targeted",0.425,0.401,0.289,-0.36,1.211,0,0,"Surf zone (2020)"
6,"North Central 
","Point Reyes SMR","Non-targeted",-0.474,0.222,0.033,-0.909,-0.038,0,0,"Surf zone (2020)"
7,"North Central 
","Del Mar Landing SMR","Targeted",0.46,0.386,0.233,-0.297,1.217,0,0,"Kelp forest (2011)"
7,"North Central 
","Del Mar Landing SMR","Non-targeted",-0.309,0.368,0.401,-1.031,0.412,0,0,"Kelp forest (2011)"
8,"North Central 
","Stewarts Point SMR","Targeted",0.506,0.858,0.555,-1.175,2.188,1.428,32.671,"Kelp forest (2019), Shallow reef (2020)"
8,"North Central 
","Stewarts Point SMR","Non-targeted",0.875,0.256,0.001,0.374,1.377,0,0,"Kelp forest (2019)"
9,"North Central 
","Point Arena SMR","Targeted",2.29,0.52,0,1.272,3.309,0,0,"Kelp forest (2011)"
9,"North Central 
","Point Arena SMR","Non-targeted",0.241,0.193,0.213,-0.138,0.619,0,0,"Kelp forest (2011)"
10,"Central 
","White Rock SMCA","Targeted",-0.313,0.534,0.558,-1.359,0.734,0,0,"Kelp forest (2011)"
10,"Central 
","White Rock SMCA","Non-targeted",1.053,0.423,0.013,0.224,1.881,0,0,"Kelp forest (2011)"
11,"Central 
","Natural Bridges SMR","Targeted",-0.114,0.737,0.877,-1.559,1.331,0.972,9.316,"Surf zone (2020), Kelp forest (2011)"
11,"Central 
","Natural Bridges SMR","Non-targeted",0.442,0.231,0.055,-0.01,0.894,0,0.434,"Surf zone (2020), Kelp forest (2011)"
12,"Central 
","Point Lobos SMR","Targeted",0.002,0.513,0.996,-1.003,1.008,0.894,60.841,"Surf zone (2020), Kelp forest (2020), Shallow reef (2020), Deep reef (2019)"
12,"Central 
","Point Lobos SMR","Non-targeted",-0.248,0.571,0.665,-1.368,0.872,0.91,50.143,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
13,"Central 
","Asilomar SMR","Targeted",0.009,0.27,0.972,-0.52,0.539,0,0.18,"Surf zone (2020), Kelp forest (2011), Deep reef (2008)"
13,"Central 
","Asilomar SMR","Non-targeted",0.25,0.204,0.219,-0.149,0.65,0.079,5.299,"Surf zone (2020), Kelp forest (2011), Deep reef (2008)"
14,"Central 
","Año Nuevo SMR","Targeted",0.317,0.307,0.302,-0.285,0.918,0.197,7.179,"Surf zone (2020), Shallow reef (2020), Deep reef (2019)"
14,"Central 
","Año Nuevo SMR","Non-targeted",0.55,0.11,0,0.334,0.766,0,0.156,"Surf zone (2020), Deep reef (2019)"
15,"Central 
","Piedras Blancas SMR","Targeted",0.321,0.447,0.473,-0.556,1.198,0.364,11.084,"Kelp forest (2008), Shallow reef (2020)"
15,"Central 
","Piedras Blancas SMR","Non-targeted",-0.395,0.191,0.038,-0.769,-0.021,0,0,"Kelp forest (2008)"
16,"Central 
","Big Creek SMR","Targeted",0.427,0.783,0.585,-1.107,1.962,0.987,4.624,"Kelp forest (2015), Deep reef (2016)"
16,"Central 
","Big Creek SMR","Non-targeted",0.188,0.202,0.353,-0.209,0.584,0,0.239,"Kelp forest (2015), Deep reef (2016)"
17,"Central 
","Point Sur SMCA","Targeted",0.475,0.611,0.438,-0.723,1.672,0,0,"Deep reef (2008)"
17,"Central 
","Point Sur SMCA","Non-targeted",0.141,0.271,0.604,-0.391,0.673,0,0,"Deep reef (2008)"
18,"Central 
","Lovers Point - Julia Platt SMR","Targeted",0.727,0.2,0,0.335,1.119,0,0,"Kelp forest (2020)"
18,"Central 
","Lovers Point - Julia Platt SMR","Non-targeted",0.954,0.298,0.001,0.37,1.538,0,0,"Kelp forest (2020)"
