"Row","Region","MPA name","Target status","Effect size","Standard error","P-value","95% lower","95% upper","Tau-2","Q","Ecosystem (latest year)"
19,"Central 
","Point Buchon SMR","Targeted",0.776,0.484,0.109,-0.172,1.724,0.629,20.799,"Kelp forest (2020), Shallow reef (2020), Deep reef (2009)"
19,"Central 
","Point Buchon SMR","Non-targeted",-0.061,0.16,0.704,-0.375,0.253,0,0.017,"Kelp forest (2020), Deep reef (2009)"
20,"Central 
","Point Sur SMR","Targeted",0.925,0.352,0.009,0.234,1.615,0,0,"Kelp forest (2020)"
20,"Central 
","Point Sur SMR","Non-targeted",0.443,0.236,0.061,-0.021,0.906,0,0,"Kelp forest (2020)"
21,"Central 
","Vandenberg SMR","Targeted",1.202,0.521,0.021,0.181,2.224,0,0,"Kelp forest (2008)"
21,"Central 
","Vandenberg SMR","Non-targeted",-0.047,0.213,0.824,-0.464,0.37,0,0,"Kelp forest (2008)"
22,"Central 
","Portuguese Ledge SMCA","Targeted",2.191,0.511,0,1.19,3.193,0,0,"Deep reef (2019)"
22,"Central 
","Portuguese Ledge SMCA","Non-targeted",1.296,0.19,0,0.923,1.669,0,0,"Deep reef (2019)"
23,"South 
","Point Vicente SMCA","Targeted",-0.762,0.923,0.409,-2.572,1.048,0,0,"Kelp forest (2020)"
23,"South 
","Point Vicente SMCA","Non-targeted",1.955,0.238,0,1.488,2.422,0,0,"Kelp forest (2020)"
24,"South 
","Point Dume SMCA","Targeted",-0.174,0.355,0.624,-0.869,0.521,0,0,"Kelp forest (2020)"
24,"South 
","Point Dume SMCA","Non-targeted",-0.839,0.258,0.001,-1.346,-0.333,0,0,"Kelp forest (2020)"
25,"South 
","Carrington Point SMR","Targeted",-0.063,0.426,0.883,-0.898,0.772,0.493,31.646,"Kelp forest (2008), Shallow reef (2020), Deep reef (2019)"
25,"South 
","Carrington Point SMR","Non-targeted",-0.781,0.666,0.241,-2.087,0.524,0.713,5.091,"Kelp forest (2008), Deep reef (2019)"
26,"South 
","Begg Rock SMR","Targeted",0.005,0.677,0.994,-1.321,1.331,0,0,"Kelp forest (2013)"
26,"South 
","Begg Rock SMR","Non-targeted",-0.537,0.734,0.464,-1.975,0.901,0,0,"Kelp forest (2013)"
27,"South 
","Farnsworth Onshore SMCA","Targeted",0.088,0.341,0.796,-0.58,0.756,0,0,"Kelp forest (2019)"
27,"South 
","Farnsworth Onshore SMCA","Non-targeted",0.729,0.442,0.099,-0.138,1.596,0,0,"Kelp forest (2019)"
28,"South 
","Blue Cavern Onshore SMCA","Targeted",0.211,0.191,0.27,-0.163,0.585,0,0,"Kelp forest (2020)"
28,"South 
","Blue Cavern Onshore SMCA","Non-targeted",-1.683,0.185,0,-2.046,-1.32,0,0,"Kelp forest (2020)"
29,"South 
","Scorpion SMR","Targeted",0.212,0.385,0.581,-0.542,0.967,0,0,"Kelp forest (2020)"
29,"South 
","Scorpion SMR","Non-targeted",-1.136,0.377,0.003,-1.875,-0.397,0,0,"Kelp forest (2020)"
30,"South 
","Matlahuayl SMR","Targeted",0.617,0.623,0.322,-0.603,1.838,0.557,3.407,"Surf zone (2020), Kelp forest (2020)"
30,"South 
","Matlahuayl SMR","Non-targeted",0.434,0.399,0.276,-0.347,1.216,0.232,3.683,"Surf zone (2020), Kelp forest (2020)"
31,"South 
","Point Conception SMR","Targeted",0.644,0.584,0.269,-0.499,1.788,1.231,53.116,"Surf zone (2020), Kelp forest (2012), Shallow reef (2018), Deep reef (2019)"
31,"South 
","Point Conception SMR","Non-targeted",-0.086,0.189,0.648,-0.457,0.284,0,1.037,"Surf zone (2020), Kelp forest (2012), Deep reef (2019)"
32,"South 
","Santa Barbara Island SMR","Targeted",0.684,0.306,0.025,0.085,1.283,0,0,"Kelp forest (2019)"
32,"South 
","Santa Barbara Island SMR","Non-targeted",-0.61,0.459,0.183,-1.51,0.289,0,0,"Kelp forest (2019)"
33,"South 
","South La Jolla SMR","Targeted",0.693,0.15,0,0.399,0.986,0,0.156,"Kelp forest (2020), Shallow reef (2020)"
33,"South 
","South La Jolla SMR","Non-targeted",2.767,1.023,0.007,0.762,4.771,0,0,"Kelp forest (2020)"
34,"South 
","South Point SMR","Targeted",0.766,0.204,0,0.367,1.165,0.021,1.311,"Kelp forest (2020), Deep reef (2019)"
34,"South 
","South Point SMR","Non-targeted",0.97,0.578,0.093,-0.162,2.103,0.593,8.853,"Kelp forest (2020), Deep reef (2019)"
35,"South 
","Long Point SMR","Targeted",0.861,0.414,0.038,0.05,1.672,0,0,"Kelp forest (2020)"
35,"South 
","Long Point SMR","Non-targeted",0.315,0.63,0.617,-0.919,1.549,0,0,"Kelp forest (2020)"
36,"South 
","Laguna Beach SMR","Targeted",0.88,0.432,0.042,0.033,1.727,0.251,2.52,"Surf zone (2020), Shallow reef (2017)"
36,"South 
","Laguna Beach SMR","Non-targeted",0.078,0.24,0.745,-0.392,0.548,0,0,"Surf zone (2020)"
37,"South 
","Campus Point SMCA","Targeted",0.929,0.422,0.028,0.102,1.757,0.365,8.923,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
37,"South 
","Campus Point SMCA","Non-targeted",0.231,0.262,0.378,-0.282,0.744,0.102,3.51,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
38,"South 
","Harris Point SMR","Targeted",0.981,0.48,0.041,0.041,1.921,0.26,1.746,"Kelp forest (2020), Deep reef (2019)"
38,"South 
","Harris Point SMR","Non-targeted",0.035,0.217,0.872,-0.391,0.461,0,0.359,"Kelp forest (2020), Deep reef (2019)"
39,"South 
","Point Dume SMR","Targeted",1.132,0.743,0.128,-0.325,2.589,0.953,7.214,"Surf zone (2020), Kelp forest (2020)"
39,"South 
","Point Dume SMR","Non-targeted",1.491,0.788,0.059,-0.054,3.035,1.078,7.245,"Surf zone (2020), Kelp forest (2020)"
40,"South 
","Gull Island SMR","Targeted",1.176,0.258,0,0.67,1.682,0,0.039,"Kelp forest (2020), Deep reef (2019)"
40,"South 
","Gull Island SMR","Non-targeted",0.796,0.235,0.001,0.335,1.256,0,0.005,"Kelp forest (2020), Deep reef (2019)"
41,"South 
","Swami's SMCA","Targeted",1.974,0.792,0.013,0.423,3.525,1.23,53.38,"Kelp forest (2019), Shallow reef (2020)"
41,"South 
","Swami's SMCA","Non-targeted",2.371,0.59,0,1.214,3.528,0,0,"Kelp forest (2019)"
42,"South 
","Abalone Cove SMCA","Targeted",2.523,0.312,0,1.912,3.134,0,0,"Kelp forest (2020)"
42,"South 
","Abalone Cove SMCA","Non-targeted",0.316,0.763,0.679,-1.18,1.812,0,0,"Kelp forest (2020)"
