"Target status","Effect size","Standard error","P-value","95% lower","95% upper","No. MPAs","Tau-2","Q"
"Targeted",0.561,0.094,0,0.377,0.745,74,0.52,833.405
"Nontargeted",0.236,0.104,0.023,0.032,0.439,61,0.527,547.146
