"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Elasmobranchii","Rajiformes","Rhinobatidae","Zapteryx","exasperata","Targeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Carangidae","Decapterus","macarellus","Targeted",NA,"X",NA,NA
"Actinopterygii","Clupeiformes ","Clupeidae","Sardinops","sagax","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","flavidus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos ","decagrammus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon ","elongatus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Cottidae ","Scorpaenichthys","marmoratus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","constellatus","Targeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes ","Paralichthyidae ","Citharichthys","sordidus","Targeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes ","Pleuronectidae","Lepidopsetta","bilineata","Targeted",NA,NA,"X","X"
"Actinopterygii","Perciformes","Malacanthidae ","Caulolatilus ","princeps","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes ","Hexagrammidae","Oxylebius","pictus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Sciaenidae ","Genyonemus","lineatus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Cottidae","Enophrys ","taurina","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus ","vacca","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Embiotocidae","Embiotoca","lateralis","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta ","jordani","Targeted",NA,NA,"X","X"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Gasterosteiformes ","Aulorhynchidae ","Aulorhynchus","flavidus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Cottidae ","Artedius","harringtoni","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Labridae ","Semicossyphus","pulcher","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Carangidae","Trachurus ","symmetricus","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Embiotocidae","Rhacochilus ","toxotes","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Scombridae","Sarda","chiliensis","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Sphyraenidae","Sphyraena","argentea","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Labridae","Oxyjulis","californica","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Cottidae","Enophrys ","bison","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","ruberrimus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Anarhichadidae ","Anarrhichthys","ocellatus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","nigrocinctus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes ","Scorpaenidae","Scorpaena","guttata","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Kyphosidae","Medialuna ","californiensis","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Serranidae","Paralabrax ","clathratus","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Pomacentridae","Chromis","punctipinnis","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Perciformes ","Labridae","Halichoeres","semicinctus","Nontargeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae ","Xystreurys","liolepis","Targeted",NA,NA,"X",NA
"Actinopterygii","Salmoniformes ","Salmonidae","Oncorhynchus ","tshawytscha","Targeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae ","Citharichthys","stigmaeus","Targeted",NA,NA,"X",NA
"Elasmobranchii ","Carcharhiniformes ","Triakidae","Galeorhinus ","galeus","Targeted",NA,NA,"X",NA
"Actinopterygii","Lamniformes","Alopiidae","Alopias","vulpinus","Targeted",NA,NA,"X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","lentiginosus","Targeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae ","Hippoglossus","stenolepis","Targeted",NA,NA,"X","X"
"Actinopterygii","Pleuronectiformes ","Paralichthyidae","Citharichthys","xanthostigma","Targeted",NA,NA,"X",NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina ","stomata","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Targeted",NA,NA,"X",NA
"Actinopterygii","Perciformes","Sebastidae","Sebastes","serranoides","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","caurinus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Hexagrammidae","Oxylebius","pictus","Nontargeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","carnatus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","serriceps","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Hexagrammidae","Ophiodon","elongatus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","rosaceus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","miniatus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","mystinus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","flavidus","Targeted",NA,NA,NA,"X"
