"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","miniatus","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Carangidae","Trachurus","symmetricus","Targeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","guttata","Targeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus","Targeted",NA,"X","X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","melanops","Targeted",NA,"X","X",NA
"Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","pinniger","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Embiotocidae","Zalembius","rosaceus","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Targeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Gobiidae","Lethops","connectens","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","princeps","Targeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serriceps","Targeted",NA,"X","X",NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Targeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Targeted",NA,"X",NA,"X"
"Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","lagocephalus","Targeted",NA,"X","X",NA
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Targeted",NA,"X",NA,NA
