"year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass"
2007,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.005411399
2007,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.029162254
2007,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.000321789
2007,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.011693414
2007,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.00266594
2007,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.039556109
2007,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.012023328
2007,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.028142914
2007,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.000349222
2007,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.032250465
2007,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.000604766
2007,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.011737124
2007,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.000285392
2007,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.004231471
2007,"deep_reef","South","north islands","south point smr","smr","smr","nontargeted",0.00386064
2007,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.033408464
2007,"deep_reef","South","north islands","south point smr","smr","ref","nontargeted",0.000753058
2007,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.025442418
2008,"deep_reef","Central","central","carmel bay smca","smca","ref","nontargeted",0.000230493
2008,"deep_reef","Central","central","carmel bay smca","smca","ref","targeted",0.004813314
2008,"deep_reef","Central","central","piedras blancas smca","smr","ref","nontargeted",0.002493465
2008,"deep_reef","Central","central","piedras blancas smca","smr","ref","targeted",0.004018044
2008,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.001914809
2008,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.019877452
2008,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",0.00013311
2008,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.006642991
2008,"deep_reef","Central","central","point lobos smr","smr","smr","nontargeted",0.000581882
2008,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.013227259
2008,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.000230293
2008,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.014253164
2008,"deep_reef","Central","central","point sur smca","smr","smca","nontargeted",0.00027522
2008,"deep_reef","Central","central","point sur smca","smr","smca","targeted",0.014913475
2008,"deep_reef","Central","central","point sur smca","smr","ref","nontargeted",8.84e-05
2008,"deep_reef","Central","central","point sur smca","smr","ref","targeted",0.006529025
2008,"deep_reef","Central","central","point sur smr","smr","smr","targeted",0.000775431
2008,"deep_reef","Central","central","point sur smr","smr","ref","nontargeted",9.13e-05
2008,"deep_reef","Central","central","point sur smr","smr","ref","targeted",0.002330883
