"join_ID","group","variable","indicator","mlpa_region","region4","affiliated_mpa","mpa_defacto_class","mpa_defacto_designation","year","target_status","mean","sd","n"
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2007,"targeted",1.18278124523842,0.203867942992272,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2008,"targeted",1.43889559701867,0.229274678408126,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2009,"targeted",1.39013911399841,0.191949409982871,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2010,"targeted",1.46382204263045,0.192412049816657,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2011,"targeted",1.27403636309262,0.238592183739413,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2012,"targeted",1.07091026984007,0.334400472036675,8
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2013,"targeted",0.833325176428166,0.21390906879857,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2014,"targeted",1.18953909710784,0.306410947366747,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2015,"targeted",1.31776275771943,0.364723391615515,7
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2016,"targeted",1.07893709246907,0.0894716233970216,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2017,"targeted",1.20492068468612,0.289908518975976,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2018,"targeted",0.993791847954365,0.275617782221986,7
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2019,"targeted",1.08519014652695,0.216675176180078,8
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","ref",2020,"targeted",1.35863509486508,0.475032652289243,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2007,"targeted",1.37272221709053,0.237193271105104,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2008,"targeted",1.36168494430892,0.0587118143188372,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2009,"targeted",1.56428283610083,0.10414568341582,8
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2010,"targeted",1.66146365083248,0.251959091366495,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2011,"targeted",1.80319746884748,0.212245216900323,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2012,"targeted",1.67858517122881,0.284781165877108,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2013,"targeted",1.50901800418817,0.317113406059227,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2014,"targeted",1.78252558754544,0.21808454382728,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2015,"targeted",1.69856331127864,0.235209216285825,7
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2016,"targeted",1.32875120141026,0.291252621103879,11
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2017,"targeted",1.34038151213189,0.465078693326791,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2018,"targeted",1.44013390316873,0.343648871649351,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2019,"targeted",1.19513599711194,0.331288654318836,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","ano nuevo smr","smr","smr",2020,"targeted",1.57318459097478,0.24199656219968,8
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2008,"targeted",1.32609556617664,0.251014449322929,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2009,"targeted",1.0559866435419,0.609532031161987,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2010,"targeted",1.30855717820728,0.356707767725777,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2011,"targeted",1.4555914189724,0.360528031148548,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2012,"targeted",1.45762930829359,0.433394938369966,10
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2013,"targeted",1.56469811976509,0.291568573159414,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2014,"targeted",1.56751570894213,0.234835091511511,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2016,"targeted",1.29701219369911,0.326902414622797,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2017,"targeted",1.0272715267712,0.316069140236379,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2018,"targeted",0.799490454317559,0.307357245790807,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2019,"targeted",1.08460017097958,0.268587521914897,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","ref",2020,"targeted",0.967096711903603,0.376427789762937,9
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","smr",2008,"targeted",1.21416946720446,0.611147739918812,14
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","smr",2009,"targeted",1.5143165914813,0.531142055663325,13
"ccfrp","ccfrp","targeted_fish","diversity","central","central","piedras blancas smr","smr","smr",2010,"targeted",1.32875570509962,0.499533149548215,12
